country,n_reports,iso3,share_of_total
US,47414,USA,90.61
GB,772,GBR,1.48
JP,711,JPN,1.36
CA,431,CAN,0.82
FR,343,FRA,0.66
BR,314,BRA,0.6
DK,301,DNK,0.58
IL,191,ISR,0.37
DE,176,DEU,0.34
AU,154,AUS,0.29
ES,150,ESP,0.29
SE,133,SWE,0.25
IT,102,ITA,0.19
CO,97,COL,0.19
CN,96,CHN,0.18
CH,93,CHE,0.18
MX,83,MEX,0.16
NL,79,NLD,0.15
NO,77,NOR,0.15
BE,71,BEL,0.14
TR,53,TUR,0.1
FI,44,FIN,0.08
RU,40,RUS,0.08
IE,31,IRL,0.06
AE,28,ARE,0.05
LB,26,LBN,0.05
HU,23,HUN,0.04
ZA,20,ZAF,0.04
DZ,18,DZA,0.03
CL,17,CHL,0.03
AR,16,ARG,0.03
CZ,16,CZE,0.03
PL,15,POL,0.03
IN,13,IND,0.02
PT,13,PRT,0.02
EG,12,EGY,0.02
KR,12,KOR,0.02
GR,11,GRC,0.02
SA,11,SAU,0.02
AT,10,AUT,0.02
RO,10,ROU,0.02
IR,10,IRN,0.02
HR,9,HRV,0.02
SI,8,SVN,0.02
IS,7,ISL,0.01
PR,7,PRI,0.01
EU,5,,0.01
PH,4,PHL,0.01
NZ,4,NZL,0.01
LV,4,LVA,0.01
BG,3,BGR,0.01
LU,3,LUX,0.01
EE,3,EST,0.01
JO,3,JOR,0.01
MA,3,MAR,0.01
KW,2,KWT,0.0
TW,2,TWN,0.0
TH,2,THA,0.0
HK,2,HKG,0.0
QA,2,QAT,0.0
MY,2,MYS,0.0
LT,2,LTU,0.0
SG,2,SGP,0.0
PE,2,PER,0.0
IQ,1,IRQ,0.0
CR,1,CRI,0.0
LK,1,LKA,0.0
LY,1,LBY,0.0
OM,1,OMN,0.0
TT,1,TTO,0.0
UA,1,UKR,0.0
VN,1,VNM,0.0
