lead_sponsor,n_trials,share_pct
Novo Nordisk A/S,388,19.866871479774705
Eli Lilly and Company,207,10.599078341013826
AstraZeneca,85,4.352278545826933
Sanofi,50,2.5601638504864312
GlaxoSmithKline,38,1.9457245263696878
Brigham and Women's Hospital,27,1.3824884792626728
Radboud University Medical Center,18,0.9216589861751152
University Medical Centre Ljubljana,17,0.8704557091653866
Intarcia Therapeutics,15,0.7680491551459293
Mayo Clinic,14,0.7168458781362007
"University of Colorado, Denver",12,0.6144393241167435
The University of Texas Health Science Center at San Antonio,11,0.5632360471070148
University at Buffalo,11,0.5632360471070148
"University Health Network, Toronto",11,0.5632360471070148
Yale University,10,0.5120327700972862
"The University of Texas Health Science Center, Houston",9,0.4608294930875576
Henrik Gudbergsen,9,0.4608294930875576
"University Hospital, Basel, Switzerland",9,0.4608294930875576
Merck Sharp & Dohme LLC,9,0.4608294930875576
Vanderbilt University Medical Center,8,0.409626216077829
"Amsterdam UMC, location VUmc",8,0.409626216077829
Imperial College London,7,0.35842293906810035
Hvidovre University Hospital,7,0.35842293906810035
University of Minnesota,7,0.35842293906810035
Fudan University,6,0.30721966205837176
Boehringer Ingelheim,6,0.30721966205837176
The Cleveland Clinic,6,0.30721966205837176
The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,6,0.30721966205837176
Steno Diabetes Center Copenhagen,6,0.30721966205837176
Stanford University,6,0.30721966205837176
University of Virginia,6,0.30721966205837176
University of Texas Southwestern Medical Center,6,0.30721966205837176
"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",6,0.30721966205837176
University of Miami,6,0.30721966205837176
RenJi Hospital,6,0.30721966205837176
Xiangya Hospital of Central South University,6,0.30721966205837176
"University Hospital, Gentofte, Copenhagen",6,0.30721966205837176
Innovent Biologics (Suzhou) Co. Ltd.,6,0.30721966205837176
"University College, London",6,0.30721966205837176
Emory University,6,0.30721966205837176
HealthPartners Institute,5,0.2560163850486431
Centre Hospitalier Universitaire Dijon,5,0.2560163850486431
Dasman Diabetes Institute,5,0.2560163850486431
Beijing Chao Yang Hospital,5,0.2560163850486431
"Beijing Dongfang Biotech Co., Ltd.",5,0.2560163850486431
Hoffmann-La Roche,5,0.2560163850486431
"PegBio Co., Ltd.",5,0.2560163850486431
University of Chicago,5,0.2560163850486431
"University of North Carolina, Chapel Hill",5,0.2560163850486431
University of Palermo,5,0.2560163850486431
University of Pennsylvania,5,0.2560163850486431
"Anders Fink-Jensen, MD, DMSci",5,0.2560163850486431
Hanmi Pharmaceutical Company Limited,5,0.2560163850486431
Medical University of Vienna,5,0.2560163850486431
Chinese PLA General Hospital,4,0.2048131080389145
Pfizer,4,0.2048131080389145
Gilead Sciences,4,0.2048131080389145
Sun Yat-sen University,4,0.2048131080389145
Second Xiangya Hospital of Central South University,4,0.2048131080389145
"BrightGene Bio-Medical Technology Co., Ltd.",4,0.2048131080389145
Shanghai Zhongshan Hospital,4,0.2048131080389145
"Rigshospitalet, Denmark",4,0.2048131080389145
Albert Einstein College of Medicine,4,0.2048131080389145
Baylor College of Medicine,4,0.2048131080389145
LMC Diabetes & Endocrinology Ltd.,4,0.2048131080389145
"Mount Sinai Hospital, Canada",4,0.2048131080389145
University of Aarhus,4,0.2048131080389145
Massachusetts General Hospital,4,0.2048131080389145
University of Tartu,4,0.2048131080389145
Cambridge University Hospitals NHS Foundation Trust,4,0.2048131080389145
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",4,0.2048131080389145
Washington University School of Medicine,4,0.2048131080389145
Woman's,4,0.2048131080389145
"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",4,0.2048131080389145
National and Kapodistrian University of Athens,3,0.15360983102918588
Duke University,3,0.15360983102918588
Seattle Children's Hospital,3,0.15360983102918588
"Second Affiliated Hospital, School of Medicine, Zhejiang University",3,0.15360983102918588
Beth Israel Deaconess Medical Center,3,0.15360983102918588
