drug_query,start_year,n
albiglutide,2007,1
albiglutide,2009,1
albiglutide,2010,4
albiglutide,2011,1
albiglutide,2013,1
albiglutide,2014,2
albiglutide,2015,2
albiglutide,2016,2
albiglutide,2017,1
dulaglutide,2011,1
dulaglutide,2016,2
dulaglutide,2017,5
dulaglutide,2018,4
dulaglutide,2019,5
dulaglutide,2020,7
dulaglutide,2021,10
dulaglutide,2022,8
dulaglutide,2023,6
dulaglutide,2024,4
dulaglutide,2025,6
dulaglutide,2026,1
exenatide,2007,1
exenatide,2008,1
exenatide,2009,1
exenatide,2010,3
exenatide,2011,4
exenatide,2013,4
exenatide,2014,4
exenatide,2015,4
exenatide,2016,14
exenatide,2017,14
exenatide,2018,7
exenatide,2019,12
exenatide,2020,12
exenatide,2021,7
exenatide,2022,7
exenatide,2023,4
exenatide,2024,5
exenatide,2025,1
exenatide,2026,1
liraglutide,2004,1
liraglutide,2005,1
liraglutide,2007,1
liraglutide,2008,1
liraglutide,2009,1
liraglutide,2010,1
liraglutide,2011,9
liraglutide,2012,12
liraglutide,2013,7
liraglutide,2014,10
liraglutide,2015,12
liraglutide,2016,19
liraglutide,2017,30
liraglutide,2018,21
liraglutide,2019,26
liraglutide,2020,18
liraglutide,2021,18
liraglutide,2022,16
liraglutide,2023,8
liraglutide,2024,16
liraglutide,2025,6
liraglutide,2026,1
lixisenatide,2016,3
lixisenatide,2017,3
lixisenatide,2018,4
lixisenatide,2019,4
lixisenatide,2022,2
lixisenatide,2023,1
lixisenatide,2024,1
lixisenatide,2025,4
lixisenatide,2026,1
orforglipron,2019,1
orforglipron,2020,1
orforglipron,2021,5
orforglipron,2022,4
orforglipron,2023,12
orforglipron,2024,10
orforglipron,2025,11
retatrutide,2019,1
retatrutide,2021,2
retatrutide,2022,3
retatrutide,2023,9
retatrutide,2024,4
retatrutide,2025,5
retatrutide,2026,2
semaglutide,2007,1
semaglutide,2008,1
semaglutide,2009,1
semaglutide,2012,2
semaglutide,2013,7
semaglutide,2014,16
semaglutide,2015,2
semaglutide,2016,11
semaglutide,2017,11
semaglutide,2018,21
semaglutide,2019,42
semaglutide,2020,23
semaglutide,2021,50
semaglutide,2022,67
semaglutide,2023,90
semaglutide,2024,115
semaglutide,2025,122
semaglutide,2026,61
semaglutide,2027,2
tirzepatide,2016,1
tirzepatide,2017,4
tirzepatide,2018,2
tirzepatide,2019,11
tirzepatide,2020,9
tirzepatide,2021,6
tirzepatide,2022,9
tirzepatide,2023,14
tirzepatide,2024,30
tirzepatide,2025,51
tirzepatide,2026,26
